user,profile
user_91,"user_91 tends to enjoy content in the genres of Drama with sub-genres such as Slice of Life, Fantasy. They particularly appreciate themes like Courage, Family Bonds and often engage with Series type content. On the other hand, they are less interested in genres like Romance, Family, sub-genres such as Crime, Coming-of-Age, and tend to avoid themes like Family Bonds, Adventure especially in Other formats."
user_32,"user_32 tends to enjoy content in the genres of Comedy with sub-genres such as Slice of Life. They particularly appreciate themes like Love and often engage with Series type content. On the other hand, they are less interested in genres like Family, Drama, sub-genres such as Coming-of-Age, Crime, and tend to avoid themes like Family Bonds, Adventure especially in Other, Movie formats."
user_31,"user_31 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Comedy, Romance, sub-genres such as Fantasy, Slice of Life, and tend to avoid themes like Friendship, Family Bonds especially in Movie, Other formats."
user_100,"user_100 tends to enjoy content in the genres of Thriller, Sci-Fi, Action with sub-genres such as Crime, Coming-of-Age, Slice of Life. They particularly appreciate themes like Friendship, Adventure, Courage and often engage with Other, Series type content. On the other hand, they are less interested in genres like Sci-Fi, sub-genres such as Crime, and tend to avoid themes like Family Bonds especially in Series formats."
user_40,"user_40 tends to enjoy content in the genres of Drama with sub-genres such as Slice of Life. They particularly appreciate themes like Courage and often engage with Movie type content. On the other hand, they are less interested in genres like Drama, sub-genres such as Fantasy, Coming-of-Age, and tend to avoid themes like Betrayal, Love especially in Other formats."
user_52,"user_52 tends to enjoy content in the genres of Family with sub-genres such as Slice of Life. They particularly appreciate themes like Love, Courage and often engage with Series, Movie type content. On the other hand, they are less interested in genres like Action, Comedy, sub-genres such as Slice of Life, Fantasy, and tend to avoid themes like Friendship, Family Bonds especially in Other, Series formats."
user_68,"user_68 tends to enjoy content in the genres of Sci-Fi, Romance with sub-genres such as Slice of Life, Crime, Coming-of-Age. They particularly appreciate themes like Family Bonds, Friendship, Betrayal and often engage with Movie, Series, Other type content. On the other hand, they are less interested in genres like Drama, Sci-Fi, sub-genres such as Slice of Life, Fantasy, Buddy, and tend to avoid themes like Adventure, Betrayal, Friendship especially in Movie, Other formats."
user_73,"user_73 tends to enjoy content in the genres of Family, Romance, Sci-Fi with sub-genres such as Fantasy, Crime, Buddy. They particularly appreciate themes like Family Bonds, Friendship, Courage and often engage with Other, Movie type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_83,"user_83 tends to enjoy content in the genres of Romance with sub-genres such as Crime. They particularly appreciate themes like Betrayal and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, Romance, Action, Family, sub-genres such as Fantasy, Buddy, Slice of Life, Crime, and tend to avoid themes like Love, Family Bonds, Adventure especially in Movie, Other formats."
user_44,"user_44 tends to enjoy content in the genres of Action with sub-genres such as Buddy. They particularly appreciate themes like Courage and often engage with Movie type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
user_62,"user_62 tends to enjoy content in the genres of Action, Thriller, Drama, Sci-Fi with sub-genres such as Coming-of-Age, Slice of Life, Crime. They particularly appreciate themes like Friendship, Love, Adventure, Betrayal and often engage with Other, Movie, Series type content. On the other hand, they are less interested in genres like Drama, Romance, sub-genres such as Fantasy, Slice of Life, and tend to avoid themes like Courage, Love especially in Series, Other formats."
user_11,"user_11 tends to enjoy content in the genres of  with sub-genres such as . They particularly appreciate themes like  and often engage with  type content. On the other hand, they are less interested in genres like Thriller, sub-genres such as Slice of Life, and tend to avoid themes like Adventure especially in Series formats."
user_82,"user_82 tends to enjoy content in the genres of Family with sub-genres such as Coming-of-Age. They particularly appreciate themes like Betrayal and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, Comedy, Drama, sub-genres such as Coming-of-Age, Buddy, and tend to avoid themes like Friendship, Family Bonds especially in Series, Other formats."
user_99,"user_99 tends to enjoy content in the genres of Thriller, Family with sub-genres such as Buddy, Fantasy. They particularly appreciate themes like Love, Betrayal and often engage with Other type content. On the other hand, they are less interested in genres like Sci-Fi, Thriller, sub-genres such as Crime, Buddy, and tend to avoid themes like Betrayal, Courage especially in Other, Movie formats."
user_54,"user_54 tends to enjoy content in the genres of Romance with sub-genres such as Crime, Coming-of-Age. They particularly appreciate themes like Courage, Adventure and often engage with Movie, Series type content. On the other hand, they are less interested in genres like , sub-genres such as , and tend to avoid themes like  especially in  formats."
